listing_id,donor_id,donor_type,food_type,quantity,unit,city,packaging,time_posted,time_since_cooked_mins,donor_reliability,distance_km,ambient_temp_c,freshness_score,pickup_prob,picked_up
L00001,D0655,Bakery,Beverage,6.6,kg,Chennai,Airtight,2025-09-01 15:28:00,184,Low,8.07,26.7,0.276,0.433,0
L00002,D0115,Bakery,Cooked Meal,4.7,boxes,Hyderabad,Cloth Wrap,2025-09-01 20:14:00,34,Low,0.2,34.2,0.304,0.491,0
L00003,D0026,HomeCook,Cooked Meal,0.5,kg,Hyderabad,Covered Tray,2025-09-02 07:20:00,136,Medium,0.6,27.8,0.435,0.464,0
L00004,D0760,Bakery,Cooked Meal,4.2,kg,Mumbai,Sealed Box,2025-09-07 03:15:00,65,High,7.95,30.0,0.586,0.635,1
L00005,D0282,Restaurant,Baked Goods,2.2,packs,Hyderabad,Covered Tray,2025-09-01 14:35:00,124,High,8.55,26.4,0.383,0.538,1
L00006,D0251,Restaurant,Cooked Meal,2.0,plates,Hyderabad,Covered Tray,2025-09-05 20:06:00,148,Medium,6.45,26.8,0.364,0.58,0
L00007,D0229,Caterer,Fruits,2.8,boxes,Hyderabad,Airtight,2025-09-01 08:35:00,13,Medium,9.17,29.2,0.684,0.773,1
L00008,D0755,Restaurant,Cooked Meal,0.9,boxes,Mumbai,Sealed Box,2025-09-03 09:10:00,58,High,2.88,31.1,0.679,0.753,0
L00009,D0105,Society,Cooked Meal,0.6,kg,Delhi,Open Tray,2025-09-04 20:11:00,39,Low,6.38,28.6,0.291,0.447,0
L00010,D0090,HomeCook,Cooked Meal,17.8,packs,Hyderabad,Airtight,2025-09-02 17:22:00,114,Medium,5.24,36.4,0.49,0.673,1
L00011,D0605,Caterer,Beverage,1.4,packs,Delhi,Open Tray,2025-09-01 20:51:00,81,High,10.61,33.0,0.336,0.477,0
L00012,D0433,HomeCook,Desserts,2.0,packs,Delhi,Covered Tray,2025-09-04 17:54:00,112,Medium,6.71,21.7,0.425,0.596,0
L00013,D0033,Restaurant,Fruits,6.0,plates,Hyderabad,Airtight,2025-09-09 16:20:00,6,High,5.48,30.1,0.847,0.811,1
L00014,D0096,HomeCook,Desserts,9.7,boxes,Bengaluru,Covered Tray,2025-09-01 11:23:00,100,Low,5.91,31.7,0.371,0.488,0
L00015,D0224,HomeCook,Cooked Meal,6.2,kg,Pune,Open Tray,2025-09-04 03:37:00,147,Medium,6.65,26.2,0.254,0.372,1
L00016,D0239,Event,Cooked Meal,11.1,plates,Delhi,Sealed Box,2025-09-02 17:55:00,43,Medium,0.2,29.5,0.646,0.777,1
L00017,D0518,HomeCook,Cooked Meal,14.1,kg,Pune,Sealed Box,2025-09-02 06:06:00,118,High,4.71,27.7,0.544,0.712,1
L00018,D0617,Restaurant,Fruits,13.8,boxes,Delhi,Covered Tray,2025-09-01 12:06:00,69,Medium,9.23,29.6,0.505,0.71,1
L00019,D0028,Bakery,Cooked Meal,8.3,plates,Mumbai,Sealed Box,2025-09-06 09:13:00,120,High,20.41,33.0,0.367,0.566,1
L00020,D0575,Bakery,Cooked Meal,4.3,boxes,Delhi,Open Tray,2025-09-02 22:06:00,100,Medium,3.34,29.4,0.301,0.455,0
L00021,D0204,Society,Cooked Meal,4.9,packs,Pune,Airtight,2025-09-02 20:53:00,218,High,7.54,28.2,0.315,0.543,1
L00022,D0734,Bakery,Cooked Meal,0.5,kg,Pune,Sealed Box,2025-09-03 18:31:00,52,Medium,3.66,28.6,0.62,0.566,0
L00023,D0666,HomeCook,Cooked Meal,15.5,plates,Chennai,Covered Tray,2025-09-02 10:12:00,46,High,0.2,30.9,0.688,0.719,1
L00024,D0719,Caterer,Cooked Meal,2.8,plates,Mumbai,Covered Tray,2025-09-03 09:24:00,86,Low,10.77,25.0,0.378,0.521,0
L00025,D0559,Restaurant,Cooked Meal,5.1,kg,Hyderabad,Covered Tray,2025-09-07 03:51:00,31,Medium,10.12,36.1,0.443,0.544,0
L00026,D0226,Event,Cooked Meal,0.5,plates,Pune,Airtight,2025-09-01 11:57:00,125,Medium,4.17,27.5,0.467,0.598,1
L00027,D0460,HomeCook,Salads,10.5,packs,Bengaluru,Sealed Box,2025-09-01 23:34:00,123,High,2.16,28.9,0.422,0.645,1
L00028,D0604,Event,Desserts,2.8,kg,Bengaluru,Airtight,2025-09-02 06:43:00,54,Medium,0.2,29.3,0.668,0.67,1
L00029,D0285,Event,Desserts,2.2,packs,Pune,Covered Tray,2025-09-02 15:56:00,38,Low,4.94,33.1,0.527,0.575,0
L00030,D0007,Event,Beverage,0.5,plates,Chennai,Open Tray,2025-09-01 13:13:00,104,Low,7.46,33.2,0.246,0.423,0
L00031,D0778,HomeCook,Cooked Meal,0.5,plates,Chennai,Open Tray,2025-09-04 18:46:00,50,Low,10.44,30.5,0.32,0.5,1
L00032,D0164,Caterer,Cooked Meal,3.2,boxes,Hyderabad,Airtight,2025-09-01 13:15:00,80,Medium,7.08,33.9,0.538,0.634,1
L00033,D0715,Society,Cooked Meal,16.5,packs,Chennai,Cloth Wrap,2025-09-01 09:12:00,94,High,8.93,29.5,0.25,0.509,0
L00034,D0433,HomeCook,Cooked Meal,4.9,boxes,Delhi,Sealed Box,2025-09-01 09:19:00,119,Medium,13.76,26.6,0.348,0.488,1
L00035,D0349,Bakery,Fruits,0.5,kg,Hyderabad,Cloth Wrap,2025-09-03 18:53:00,22,High,6.45,27.1,0.403,0.458,0
L00036,D0160,Society,Cooked Meal,0.5,kg,Pune,Sealed Box,2025-09-10 09:12:00,199,Low,0.2,32.4,0.282,0.499,1
L00037,D0221,Restaurant,Cooked Meal,10.0,kg,Chennai,Cloth Wrap,2025-09-13 03:44:00,180,High,6.25,27.1,0.216,0.386,0
L00038,D0782,HomeCook,Cooked Meal,5.6,packs,Mumbai,Open Tray,2025-09-01 13:01:00,81,Medium,11.2,29.7,0.328,0.515,0
L00039,D0345,HomeCook,Desserts,2.6,packs,Chennai,Covered Tray,2025-09-03 19:52:00,63,Low,3.63,32.7,0.386,0.448,0
L00040,D0105,Restaurant,Fruits,7.7,packs,Pune,Covered Tray,2025-09-05 10:09:00,10,High,0.2,29.8,0.793,0.79,1
L00041,D0390,Restaurant,Salads,1.4,plates,Bengaluru,Open Tray,2025-09-03 02:56:00,186,Low,1.75,26.2,0.197,0.39,0
L00042,D0100,HomeCook,Cooked Meal,8.6,boxes,Hyderabad,Open Tray,2025-09-01 08:36:00,154,Medium,0.2,30.3,0.24,0.404,1
L00043,D0368,Caterer,Baked Goods,3.6,plates,Chennai,Airtight,2025-09-05 12:21:00,100,High,1.9,31.6,0.593,0.687,1
L00044,D0353,HomeCook,Cooked Meal,0.8,plates,Delhi,Sealed Box,2025-09-02 18:50:00,43,Medium,4.49,26.8,0.569,0.64,1
L00045,D0619,Bakery,Cooked Meal,1.9,plates,Pune,Open Tray,2025-09-01 13:22:00,103,Medium,8.64,29.1,0.331,0.485,0
L00046,D0271,HomeCook,Cooked Meal,0.7,kg,Chennai,Open Tray,2025-09-03 10:54:00,38,Medium,0.2,31.4,0.413,0.497,1
L00047,D0045,Restaurant,Cooked Meal,11.4,plates,Delhi,Covered Tray,2025-09-02 09:24:00,113,High,4.66,27.3,0.499,0.671,0
L00048,D0748,HomeCook,Fruits,1.6,packs,Chennai,Airtight,2025-09-02 02:33:00,31,Medium,0.2,29.9,0.786,0.689,1
L00049,D0471,HomeCook,Cooked Meal,3.3,plates,Delhi,Airtight,2025-09-02 03:31:00,53,Medium,8.04,31.1,0.623,0.537,1
L00050,D0550,Event,Desserts,16.8,boxes,Chennai,Covered Tray,2025-09-07 02:18:00,42,Low,5.35,29.2,0.488,0.637,1
L00051,D0128,Society,Cooked Meal,0.9,kg,Chennai,Sealed Box,2025-09-03 13:42:00,29,High,6.44,33.4,0.673,0.581,1
L00052,D0081,Restaurant,Baked Goods,3.5,kg,Bengaluru,Sealed Box,2025-09-02 07:12:00,29,Medium,5.94,32.1,0.544,0.671,1
L00053,D0566,Society,Salads,3.8,plates,Delhi,Sealed Box,2025-09-01 15:13:00,24,High,1.73,30.0,0.585,0.684,1
L00054,D0301,Society,Cooked Meal,9.4,packs,Hyderabad,Open Tray,2025-09-04 14:48:00,110,Low,8.03,26.3,0.262,0.54,0
L00055,D0644,Caterer,Cooked Meal,2.1,plates,Pune,Sealed Box,2025-09-03 02:46:00,36,High,0.2,30.5,0.733,0.835,1
L00056,D0634,Society,Beverage,4.2,packs,Chennai,Sealed Box,2025-09-03 20:25:00,97,Low,12.53,33.2,0.418,0.509,0
L00057,D0371,Event,Cooked Meal,0.6,kg,Mumbai,Sealed Box,2025-09-01 13:39:00,242,Medium,7.1,27.5,0.204,0.362,0
L00058,D0592,Event,Cooked Meal,2.1,boxes,Delhi,Open Tray,2025-09-01 19:43:00,17,Medium,4.02,29.0,0.345,0.5,0
L00059,D0722,Bakery,Fruits,5.0,packs,Mumbai,Covered Tray,2025-09-01 16:48:00,42,High,4.34,37.4,0.653,0.71,1
L00060,D0072,Society,Cooked Meal,1.1,kg,Chennai,Open Tray,2025-09-03 00:36:00,88,Low,3.98,33.8,0.202,0.429,1
L00061,D0047,HomeCook,Cooked Meal,1.0,kg,Delhi,Open Tray,2025-09-01 22:47:00,23,Low,12.01,31.3,0.265,0.422,1
L00062,D0678,Restaurant,Salads,0.5,boxes,Bengaluru,Sealed Box,2025-09-01 16:50:00,91,Medium,3.6,28.6,0.439,0.504,0
L00063,D0234,Society,Cooked Meal,5.5,kg,Pune,Airtight,2025-09-06 00:19:00,109,Medium,0.2,25.4,0.538,0.674,1
L00064,D0792,HomeCook,Cooked Meal,4.0,boxes,Chennai,Airtight,2025-09-07 11:15:00,23,High,8.89,29.7,0.683,0.772,1
L00065,D0082,Restaurant,Fruits,5.0,plates,Bengaluru,Airtight,2025-09-05 01:04:00,91,Low,6.39,24.4,0.481,0.676,0
L00066,D0239,Restaurant,Cooked Meal,0.7,kg,Pune,Covered Tray,2025-09-01 21:25:00,133,Medium,16.04,28.2,0.285,0.489,0
L00067,D0104,Bakery,Cooked Meal,15.9,kg,Delhi,Airtight,2025-09-04 08:41:00,139,High,4.5,30.5,0.507,0.7,1
L00068,D0390,Caterer,Cooked Meal,3.9,plates,Delhi,Sealed Box,2025-09-05 04:40:00,82,High,6.5,26.2,0.511,0.583,1
L00069,D0285,Bakery,Baked Goods,4.6,kg,Delhi,Sealed Box,2025-09-04 15:19:00,24,Medium,8.72,27.6,0.553,0.636,1
L00070,D0465,Caterer,Desserts,6.6,kg,Bengaluru,Covered Tray,2025-09-03 17:55:00,127,High,4.72,24.0,0.461,0.61,1
L00071,D0651,HomeCook,Desserts,0.5,kg,Bengaluru,Airtight,2025-09-01 13:07:00,171,High,3.56,28.4,0.419,0.653,1
L00072,D0374,Bakery,Fruits,3.3,plates,Chennai,Covered Tray,2025-09-02 12:04:00,110,Medium,10.34,30.0,0.462,0.588,0
L00073,D0167,Caterer,Cooked Meal,10.5,boxes,Delhi,Sealed Box,2025-09-01 08:04:00,94,High,9.26,32.9,0.494,0.614,0
L00074,D0380,Society,Beverage,7.3,kg,Hyderabad,Covered Tray,2025-09-01 20:38:00,27,Low,0.2,27.0,0.528,0.582,1
L00075,D0215,Restaurant,Beverage,2.8,kg,Bengaluru,Covered Tray,2025-09-01 19:18:00,80,High,1.7,29.2,0.627,0.624,0
L00076,D0687,Restaurant,Beverage,5.2,kg,Delhi,Covered Tray,2025-09-01 20:06:00,112,Low,2.51,27.4,0.377,0.589,1
